sourceFile,extension,bytes,width,height,aspect,dimensionKey,error
httpssteamusercontentaakamaihdnetugc310642457079442594F96D20A6A8D50945412095FE5F9F260AC1E29B7.jpg,.jpg,1100802,1536,2879,0.5335,1536x2879,
httpssteamusercontentaakamaihdnetugc31064245707944306B20C40028CD88084359CBFBBC188070CE95CB094.jpg,.jpg,756945,1536,2834,0.542,1536x2834,
httpssteamusercontentaakamaihdnetugc3106424570794433685943AED1A2439148F84F0E6D368CD50EA2D0410.jpg,.jpg,1013065,1536,2865,0.5361,1536x2865,
httpssteamusercontentaakamaihdnetugc310642457079451994C8231B47769674134A1586BC6B1BAAF113D2475.jpg,.jpg,722809,1536,2859,0.5373,1536x2859,
httpssteamusercontentaakamaihdnetugc310642457079645231B5885AD237901097FFF6B017EC5147394B9D536.png,.png,1938408,939,1784,0.5263,939x1784,
httpssteamusercontentaakamaihdnetugc310642457079645905B0DE6BF2A6243E15738B425CCEC5D00BA690EC3.png,.png,1269727,675,1275,0.5294,675x1275,
httpssteamusercontentaakamaihdnetugc31064245707964613F92515BC37D06842F469AF86EA7C6EF216393032.png,.png,1941141,675,1275,0.5294,675x1275,
httpssteamusercontentaakamaihdnetugc31064245708001709C7DDA0399555AA322D673D9C69B3E054E3DD5D71.png,.png,3442683,1800,1800,1.0,1800x1800,
httpssteamusercontentaakamaihdnetugc31064245708001753C4C53478FAFAB5BF12BC649EDD79869D738E22C0.png,.png,9873144,3084,3072,1.0039,3084x3072,
httpssteamusercontentaakamaihdnetugc450736355947874683383F8BD492F39E77230F18002C072F0C4BF778A0.jpg,.jpg,5415,1000,300,3.3333,1000x300,
